id,url,region,region_url,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,size,type,paint_color,image_url,description,county,state,lat,long,posting_date
7305672709,https://auburn.craigslist.org/ctd/d/ozark-2018-chevrolet-express-cargo-van/7305672709.html,auburn,https://auburn.craigslist.org,0,2018,chevrolet,express cargo van,like new,6 cylinders,gas,68472,clean,automatic,1GCWGAFP8J1309579,rwd,full-size,van,white,https://images.craigslist.org/00K0K_69J3ZqXVAcwz_0gw0co_600x450.jpg,"2018 Chevrolet Express Cargo Van RWD 2500 135""Clean Title with a Powerful and Reliable 4.3L Engine  Available for test drive at Moates Auto Xchange 334-445-1460  VIN: 1GCWGAFP8J1309579 Condition: UsedExterior: White Interior:  Mileage: 68,472 Transmission:Automatic Engine: 4.3L Stock# P2223   Features Included (5BV) Upfitter electrical or (PCH) Hotel Shuttle Package.)(5BV) Upfitter electrical provisions or (LWN) 2.8L Duramax Turbo-Diesel engine.)(5BV) Upfitter electrical provisions or (ZP6) 5-passenger Express Crew Van.)(9L7) Wiring junction block equipment accessory(C69) rear air conditioning105 amps (Not available with (Y3H) Paratransit Package298 lb-ft of torque [404 Nm] @ 3900 rpm) (Reference the Engine/Axle page for availability.)3 on the engine console cover3.42 ratio (Reference the Engine/Axle page for availability.)4-wheel antilock4-wheel disc4.3L V6 with Direct Injection and Variable Valve Timing60/40 split600 cold-cranking amps8600 lbs. (3901 kg) (Reference the Engine/Axle page for availability.)Air bagsall windowsAlternatoraluminized stainless-steel muffler and tailpipeanalog with speedometerAssist handlesBatteryBlackblackwallBodyBrake/transmission shift interlockBrakesBumpersCargo tie-downs 6 D-ring attachments on cargo area floor (Not available with (Y3H) Paratransit PackageChevrolet Connected Access with 10 years of standard connectivity which enables services such asChevrolet Smart DriverclothConsoleCoolingCup holdersDaytime Running LampsDealer Maintenance NotificationDefoggerDoorDoor beamsdriver and front passengerdriver and right-front passengerdual halogen compositeEngineengine cover with open storage binengine temperature and oil pressureExhaustexternal (Not available with (LWN) 2.8L Duramax Turbo-Diesel engine.)external engine oil cooler (Not available with (LWN) 2.8L Duamax Turbo-Diesel engine.)Floor coveringfor automatic transmissionsFramefront and rear painted Black with step-padfront independent with coil springs and stabilizer barfront intermittent wet-arm with pulse washersfront LT245/75R16E all-seasonfuel levelFuel tank capacityfull-length Black rubberized-vinyl (Not available with (RFM) rear floor covering deletefull-length box ladder-typeGlassGVWRheadlamp on and key-in-ignitionHeadlampsHeadlinerHill Start Assisthinged rear side doors and hinged rear doors (Not available with (Y3H) Paratransit Package or (5BV) Upfitter electrical provisions.)includes aluminum block construction (276 hp [206 kW] @ 5200 rpmincludes defeat switch and door handle-activated switchesinstrument panel-mountedInstrumentationinterior with 4 dome lights 1 overhead and 3 LED's on cross members in cargo areaLightingmaintenance-free with rundown protection and retained accessory powermid-frame and approximately 31 gallons (117.3L)Mirrorsodometer with trip odometerOil life monitoroutside manualover driver and passengerpaddedPASS-Key IIIpowerRear axlerear hypoid drive axle with multi-leaf springsrear LT245/75R16E all-seasonRear wheel driveseat-mounted side-impact and head curtain side-impact (Always use safety belts and the correct child restraints. Children are safer when properly secured in a rear seat in the appropriate child restraint. See the Owner's Manual for more information.)side windowsSolar-Ray light-tintedStabiliTrakstandardsteel sleeve column with theft-deterrent locking featuresteel-sideSteeringSteering wheelSuspensionswing-out passenger-sideTheft-deterrent systemTiresTow/haul mode selectortraction assistance and vehicle stability enhancement systemTransmission oil coolerTrim panelsvehicleVehicle DiagnosticsVisorsvoltmeterWarning tonesWipers  ***Call to Schedule your Test Drive*** ***Trade-In Welcome*** ***Low Mileage Cars***    For any questions on this Chevrolet Express Cargo VanPlease visit our website or call 334-445-1460  828 U.S. 231Ozark, AL 334-445-1460 Website:  http://www.wiregrasscars   BatchID: 44BTOHCIESID: 17346835 Updated 4/12/2021 11:20:56 PM EST",,al,31.425091,-85.617723,2021-04-12T11:20:35-0500
7305672266,https://auburn.craigslist.org/ctd/d/ozark-2019-chevrolet-express-cargo-van/7305672266.html,auburn,https://auburn.craigslist.org,0,2019,chevrolet,express cargo van,like new,6 cylinders,gas,69125,clean,automatic,1GCWGAFP4K1214373,rwd,full-size,van,white,https://images.craigslist.org/00E0E_fFAYDZvzy8Oz_0gw0co_600x450.jpg,"2019 Chevrolet Express Cargo Van RWD 2500 135""Clean Title with a Powerful and Reliable 4.3L Engine  Available for test drive at Moates Auto Xchange 334-445-1460  VIN: 1GCWGAFP4K1214373 Condition: UsedExterior: White Interior:  Mileage: 69,125 Transmission:Automatic Engine: 4.3L Stock# P2217   Features Included (5BV) Upfitter electrical or (PCH) Hotel Shuttle Package.)(5BV) Upfitter electrical provisions or (LWN) 2.8L Duramax Turbo-Diesel engine.)(5BV) Upfitter electrical provisions or (ZP6) 5-passenger Express Crew Van.)(9L7) Wiring junction block equipment accessory(C69) rear air conditioning105 amps (Not available with (Y3H) Paratransit Package298 lb-ft of torque [404 Nm] @ 3900 rpm) (Reference the Engine/Axle page for availability.)3 on the engine console cover3.42 ratio (Reference the Engine/Axle page for availability.)4-wheel antilock4-wheel disc4.3L V6 with Direct Injection and Variable Valve Timing60/40 split600 cold-cranking amps8600 lbs. (3901 kg) (Reference the Engine/Axle page for availability.)active OnStar service and data plan. Data plans provided by AT&T. Visit onstar for details and system limitations.)all windowsAlternatoraluminized stainless-steel muffler and tailpipeanalog with speedometerAssist handlesBatteryBlackblackwallBodyBrake/transmission shift interlockBrakesBumpersCargo tie-downs 6 D-ring attachments on cargo area floor (Not available with (Y3H) Paratransit PackageChevrolet 4G LTE and available built-in Wi-Fi hotspot offers a fast and reliable Internet connection for up to 7 devices; includes data trial for 1 month or 3GB (whichever comes first) (Included and only available with (UE1) OnStar. Available Wi-Fi requires compatible mobile deviceChevrolet Connected Access with 10 years of standard connectivity which enables services such asChevrolet Smart DriverclothConsoleCoolingCup holdersDaytime Running LampsDealer Maintenance NotificationDefoggerDoorDoor beamsdriver and front passengerdriver and right-front passengerdual halogen compositeEngineengine cover with open storage binengine temperature and oil pressureExhaustexternal (Not available with (LWN) 2.8L Duramax Turbo-Diesel engine.)external engine oil cooler (Not available with (LWN) 2.8L Duamax Turbo-Diesel engine.)Floor coveringfor automatic transmissionsFramefront and rear painted Black with step-padfront independent with coil springs and stabilizer barfront intermittent wet-arm with pulse washersfront LT245/75R16E all-seasonfuel levelFuel tank capacityfull-length Black rubberized-vinyl (Not available with (RFM) rear floor covering deletefull-length box ladder-typeGlassGVWRheadlamp on and key-in-ignitionHeadlampsHeadlinerHill Start Assisthinged rear side doors and hinged rear doors (Not available with (Y3H) Paratransit Package or (5BV) Upfitter electrical provisions.)includes aluminum block construction (276 hp [206 kW] @ 5200 rpmincludes defeat switch and door handle-activated switchesinstrument panel-mountedInstrumentationinterior with 4 dome lights 1 overhead and 3 LED's on cross members in cargo areaLightingmaintenance-free with rundown protection and retained accessory powerMarketplace and more (Included and only available with (UE1) OnStar. Limitations apply. Not transferable. Standard connectivity available to original purchaser for ten years from the date of initial vehicle purchase for model year 2018 or newer Chevrolet vehicles. See onstar for details and further plan limitations. Connected Access does not include emergency or security services. Availability and additional services enabled by Connected Access are subject to change.)mid-frame and approximately 31 gallons (117.3L)Mirrorsodometer with trip odometerOil life monitoroutside manualover driver and passengerpaddedPASS-Key IIIpowerRear axlerear hypoid drive axle with multi-leaf springsrear LT245/75R16E all-seasonRear wheel driveside windowsSolar-Ray light-tintedStabiliTrakstandardsteel sleeve column with theft-deterrent locking featuresteel-sideSteeringSteering wheelSuspensionswing-out passenger-sideTheft-deterrent systemTiresTow/haul mode selectortraction assistance and vehicle stability enhancement systemTransmission oil coolerTrim panelsvehicleVehicle DiagnosticsVisorsvoltmeterWarning tonesWipers  ***Call to Schedule your Test Drive*** ***Trade-In Welcome*** ***Low Mileage Cars***    For any questions on this Chevrolet Express Cargo VanPlease visit our website or call 334-445-1460  828 U.S. 231Ozark, AL 334-445-1460 Website:  http://www.wiregrasscars   BatchID: 44BTOHCIESID: 17287960 Updated 4/12/2021 11:15:35 PM EST",,al,31.425091,-85.617723,2021-04-12T11:20:00-0500
7305672252,https://auburn.craigslist.org/ctd/d/ozark-2018-chevrolet-express-cargo-van/7305672252.html,auburn,https://auburn.craigslist.org,0,2018,chevrolet,express cargo van,like new,6 cylinders,gas,66555,clean,automatic,1GCWGAFPXJ1337903,rwd,full-size,van,white,https://images.craigslist.org/00000_e8MT9cNYnGhz_0gw0co_600x450.jpg,"2018 Chevrolet Express Cargo Van RWD 2500 135""Clean Title with a Powerful and Reliable 4.3L Engine  Available for test drive at Moates Auto Xchange 334-445-1460  VIN: 1GCWGAFPXJ1337903 Condition: UsedExterior: White Interior:  Mileage: 66,555 Transmission:Automatic Engine: 4.3L Stock# P2225   Features Included (5BV) Upfitter electrical or (PCH) Hotel Shuttle Package.)(5BV) Upfitter electrical provisions or (LWN) 2.8L Duramax Turbo-Diesel engine.)(5BV) Upfitter electrical provisions or (ZP6) 5-passenger Express Crew Van.)(9L7) Wiring junction block equipment accessory(C69) rear air conditioning105 amps (Not available with (Y3H) Paratransit Package298 lb-ft of torque [404 Nm] @ 3900 rpm) (Reference the Engine/Axle page for availability.)3 on the engine console cover3.42 ratio (Reference the Engine/Axle page for availability.)4-wheel antilock4-wheel disc4.3L V6 with Direct Injection and Variable Valve Timing60/40 split600 cold-cranking amps8600 lbs. (3901 kg) (Reference the Engine/Axle page for availability.)Air bagsall windowsAlternatoraluminized stainless-steel muffler and tailpipeanalog with speedometerAssist handlesBatteryBlackblackwallBodyBrake/transmission shift interlockBrakesBumpersCargo tie-downs 6 D-ring attachments on cargo area floor (Not available with (Y3H) Paratransit PackageChevrolet Connected Access with 10 years of standard connectivity which enables services such asChevrolet Smart DriverclothConsoleCoolingCup holdersDaytime Running LampsDealer Maintenance NotificationDefoggerDoorDoor beamsdriver and front passengerdriver and right-front passengerdual halogen compositeEngineengine cover with open storage binengine temperature and oil pressureExhaustexternal (Not available with (LWN) 2.8L Duramax Turbo-Diesel engine.)external engine oil cooler (Not available with (LWN) 2.8L Duamax Turbo-Diesel engine.)Floor coveringfor automatic transmissionsFramefront and rear painted Black with step-padfront independent with coil springs and stabilizer barfront intermittent wet-arm with pulse washersfront LT245/75R16E all-seasonfuel levelFuel tank capacityfull-length Black rubberized-vinyl (Not available with (RFM) rear floor covering deletefull-length box ladder-typeGlassGVWRheadlamp on and key-in-ignitionHeadlampsHeadlinerHill Start Assisthinged rear side doors and hinged rear doors (Not available with (Y3H) Paratransit Package or (5BV) Upfitter electrical provisions.)includes aluminum block construction (276 hp [206 kW] @ 5200 rpmincludes defeat switch and door handle-activated switchesinstrument panel-mountedInstrumentationinterior with 4 dome lights 1 overhead and 3 LED's on cross members in cargo areaLightingmaintenance-free with rundown protection and retained accessory powermid-frame and approximately 31 gallons (117.3L)Mirrorsodometer with trip odometerOil life monitoroutside manualover driver and passengerpaddedPASS-Key IIIpowerRear axlerear hypoid drive axle with multi-leaf springsrear LT245/75R16E all-seasonRear wheel driveseat-mounted side-impact and head curtain side-impact (Always use safety belts and the correct child restraints. Children are safer when properly secured in a rear seat in the appropriate child restraint. See the Owner's Manual for more information.)side windowsSolar-Ray light-tintedStabiliTrakstandardsteel sleeve column with theft-deterrent locking featuresteel-sideSteeringSteering wheelSuspensionswing-out passenger-sideTheft-deterrent systemTiresTow/haul mode selectortraction assistance and vehicle stability enhancement systemTransmission oil coolerTrim panelsvehicleVehicle DiagnosticsVisorsvoltmeterWarning tonesWipers  ***Call to Schedule your Test Drive*** ***Trade-In Welcome*** ***Low Mileage Cars***    For any questions on this Chevrolet Express Cargo VanPlease visit our website or call 334-445-1460  828 U.S. 231Ozark, AL 334-445-1460 Website:  http://www.wiregrasscars   BatchID: 44BTOHCIESID: 17346840 Updated 4/12/2021 11:22:05 PM EST",,al,31.425091,-85.617723,2021-04-12T11:19:58-0500
7316482063,https://bham.craigslist.org/ctd/d/powder-springs-very-well-kept-sky-blue/7316482063.html,birmingham,https://bham.craigslist.org,4000,2002,toyota,echo,excellent,4 cylinders,gas,155000,clean,automatic,JTDBT123520243495,fwd,compact,sedan,blue,https://images.craigslist.org/00N0N_jYPooSDmN5az_0mX0cU_600x450.jpg,"This sky blue Toyota Echo has an excellent Carfax history with no accidents and current emissions. It has recently been given a brand new A/C compressor along with a tune-up. All the features are in good working order.  I can be reached at (770) 262-9880. Carfax available upon request. Se habla Espanol   About Me: My name is Steven Lang. For over 18 years I have maintained a perfect 100% positive feedback rating on Ebay because I go out of my way to be truthful and direct.  If you Google 'long-term quality', you'll see a long-term quality study on used cars that I co-developed which now outranks Consumer Reports and has nearly three million vehicles inspected by professional mechanics.  www.dashboard-light.com   If you're looking for a well maintained Toyota with an automatic transmission feel free to reach me at (770) 262-9880 . All the best.   Browse a few dozen stories I have written for Car and Driver and elsewhere that cover all things automotive.  https://www.google.com/search?q=steven+lang+car+and+driver&oq=steven+lang+car+and+driver&aqs=chrome..69i57j35i39j69i59.4711j0j7&sourceid=chrome&ie=UTF-8    View my current Craigslist inventory.  https://atlanta.craigslist.org/d/for-sale/search/sss?query=steven%20lang%20craigslist&sort=rel",,al,33.9135,-84.6859,2021-05-03T17:48:17-0500
7316429417,https://bham.craigslist.org/cto/d/birmingham-1995-bmw-525i-e34/7316429417.html,birmingham,https://bham.craigslist.org,2500,1995,bmw,525i,fair,6 cylinders,gas,110661,clean,automatic,WBAHD6322SGK86772,rwd,mid-size,sedan,white,https://images.craigslist.org/00R0R_iQQpe8BshGIz_0ak07K_600x450.jpg,"For sale is a 1995 BMW 525i. Engine runs great. Leather seats are in great condition. New radiator, new fan and shroud. New battery. 4 new tires with less than 100 miles on them. New front and rear lights, most of the removed lights are also included.  Does need inside compartment work. Window motors need replacing.  AC is not cooling, not sure why.  Call or text me at Two Zero Five Nine One Five Four Four One Eight if you are interested. Hoover Alabama. Title in hand.  Asking $2500, but will consider best offer.",,al,33.3538,-86.8254,2021-05-03T16:03:27-0500
7315946365,https://bham.craigslist.org/cto/d/bessemer-2008-mazda-miata-mx/7315946365.html,birmingham,https://bham.craigslist.org,9000,2008,mazda,miata mx-5,excellent,4 cylinders,gas,56700,clean,automatic,JM1NC25F570128735,rwd,compact,convertible,white,https://images.craigslist.org/00S0S_277uHKZpbGnz_0gw0co_600x450.jpg,"For sale by owner.  Excellent condition with just under 57k miles. Touring Edition NC Miata with 6-speed automatic transmission, HID headlights, paddle shifters, cloth seats, power windows, power locks with remote/keyless entry, power mirrors, cruise control, steering wheel-mounted stereo controls, factory alarm and a new set of Weathertech floor liners.  All service items are up to date - fluid, brakes, tires, battery, etc.  I'm happy to discuss all service performed during my ownership of the car which began in 2018 at roughly 44k miles.  The car has been rock solid and only needs a new driver at this time.  Please call with questions or to purchase.  If you don't reach me, please leave voicemail.   For reasons unbeknownst to me, my phone automatically nukes text messages.  Thank you!",,al,33.339133,-86.920052,2021-05-02T16:41:28-0500
7315354216,https://bham.craigslist.org/cto/d/marietta-2011-ford-150-regular-cab-long/7315354216.html,birmingham,https://bham.craigslist.org,8950,2011,ford,f-150,excellent,6 cylinders,gas,164000,clean,automatic,1FTMF1CM6BKD55331,fwd,full-size,truck,white,https://images.craigslist.org/01212_6xRHfNWpFtGz_0CI0t2_600x450.jpg,"2011 Ford F-150 2WD XL PickUp Truck Regular Cab Long Bed 3.7 Liter V-6 Engine  164,000 Original Miles Cold A/C Excellent Condition  Runs Great  Needs Tires Clear Title   $8950.00 CASH Marietta, Georgia   show contact info       Vin# 1FTMF1CM6BKD55331",,al,34.0378,-84.5038,2021-05-01T11:41:04-0500
7315349921,https://bham.craigslist.org/cto/d/birmingham-1972-mercedes-benz-250c/7315349921.html,birmingham,https://bham.craigslist.org,4000,1972,mercedes-benz,benz,fair,6 cylinders,gas,88100,clean,automatic,1.14E+13,rwd,full-size,coupe,silver,https://images.craigslist.org/00V0V_cqr3FPvHaiMz_0x20oM_600x450.jpg,"Mercedes Benz 250c 1972.  Runs and drives fine.  Some rust on body, trunk and floor, see photos. Much mechanical work invested in car since I purchased in 2012.  Beautiful 2 door pillarless design.",,al,33.5409,-86.7495,2021-05-01T11:33:56-0500
7315259946,https://bham.craigslist.org/ctd/d/cleveland-2001-ferrari-360-modena-spider/7315259946.html,birmingham,https://bham.craigslist.org,98900,2001,ferrari,360 modena,good,8 cylinders,gas,20187,clean,automatic,ZFFYT53A110125703,rwd,mid-size,convertible,red,https://images.craigslist.org/00x0x_L3jIoWpkvYz_0cU09G_600x450.jpg,"2001 Ferrari 360 Modena Spider - $98,900 Year: 2001 Make: Ferrari Model: 360 Modena VIN: ZFFYT53A110125703 Stock # 11607 Mileage: 20,187 Color: Red Trim: Spider Engine: 3.6L V8 2-DOHC 40V Trans: Automatic Seller's Comments:VISIT WWW.WRANGLERRANCH.NET FOR DETAILS!! THIS VEHICLE IS ONE OF 25 JEEPS AVAILABLE. THE WRANGLER RANCH LLC IS NORTHEAST GEORGIA'S LARGEST PRE-OWNED JEEP STORE. WE ARE A FULL SERVICE PRE-OWNED JEEP WRANGLER STORE, SALES, ACCESSORIES, SERVICE, FINANCING, AND EVEN WARRANTIES ARE AVAILABLE. TRADES WELCOME! CALL US AT 706-348-6242 TO SET UP A TEST DRIVE OR FOR MORE INFORMATION.   Vehicle Options: ABS BrakesAir ConditioningAlloy WheelsAM/FM RadioCD PlayerDriver AirbagLeather SeatPassenger AirbagPower Door LocksPower WindowsTachometerTilt SteeringTraction Control Visit our virtual showroom:wranglerranch.net   Address:782 S Main St. Cleveland, GA  Schedule your test drive today:706-348-6242   copy/paste link below for more photos and info.  http://wranglerranch.net/2001-Ferrari-360Modena/Used-Convertible/Cleveland-GA/17840/17494085/Craigslist/Details.aspxBatchID: D96BOKKWYLID: 17494085",,al,34.586557,-83.761243,2021-05-01T08:48:02-0500
7315110575,https://bham.craigslist.org/ctd/d/siluria-2008-mercedes-benz-c350/7315110575.html,birmingham,https://bham.craigslist.org,9400,2008,mercedes-benz,benz c350,good,6 cylinders,gas,129473,clean,automatic,WDDGF56X68F140907,rwd,full-size,sedan,silver,https://images.craigslist.org/00101_ltjmSQnRiw7z_0CI0t2_600x450.jpg,"2008 Mercedes Benz C350 ; Automatic ; 3.5L Engine ; 6 Cylinders ; RWD ; Own it for $ 9,400 CASH ; Financing Available ( Restrictions Apply ) Beginning from $ 10,400 ; Call at 2056209037 for more details; 129 K Miles ; Harman/Kardon Audio System ; AM/FM CD/MP3; Satellite; Blue Tooth ; Navigation System;Power Sunroof ; Leather Seats; Air Conditioning; Power Windows; Power Locks; Power Steering; Tilt Wheel; Immobilizer; Keyless Entry;  Daytime Running Lights; Dual Airbags Front Head and Side; Active Seatbelts; Passenger Airbag Sensor; All Wheel ABS; VISIT OUR WEBSITE AT:WWW.RPNMOTORSINC.NET",,al,33.242941,-86.817312,2021-04-30T19:14:16-0500
